trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
378,False,"{'a': 0.002, 'e': 0.7289564676013889}",20,0,-63.75078740057771,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
379,False,"{'a': 0.002, 'e': 0.7275858904925034}",20,0,-7.066814122444027,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
380,False,"{'a': 0.002, 'e': 0.7262124030410263}",20,0,-45.99534548146231,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
381,False,"{'a': 0.002, 'e': 0.7248360107409052}",25,10,-38.84119859243194,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
382,False,"{'a': 0.002, 'e': 0.7234567190977075}",20,0,-91.01363230210974,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
383,False,"{'a': 0.002, 'e': 0.7220745336285982}",20,0,-64.55452386777885,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
384,False,"{'a': 0.002, 'e': 0.720689459862317}",20,0,-74.0827608573265,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
385,False,"{'a': 0.002, 'e': 0.7193015033391573}",20,0,-115.5377469671679,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
386,False,"{'a': 0.002, 'e': 0.7179106696109434}",25,0,-38.42062432382294,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
387,False,"{'a': 0.002, 'e': 0.7165169642410081}",30,0,-103.27299339010881,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
388,False,"{'a': 0.002, 'e': 0.7151203928041714}",25,6,-114.49160806678869,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
389,False,"{'a': 0.002, 'e': 0.7137209608867168}",20,0,-116.90607281831545,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
390,False,"{'a': 0.002, 'e': 0.7123186740863704}",20,0,-76.12785480773937,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
391,False,"{'a': 0.002, 'e': 0.7109135380122773}",20,0,-116.71752209839818,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
392,False,"{'a': 0.002, 'e': 0.7095055582849801}",25,0,-129.46773601056583,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
393,False,"{'a': 0.002, 'e': 0.7080947405363958}",20,3,-34.12629266578201,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
394,False,"{'a': 0.002, 'e': 0.7066810904097934}",20,9,-39.820957894693535,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
395,False,"{'a': 0.002, 'e': 0.7052646135597717}",25,16,-34.289737899281164,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
396,False,"{'a': 0.002, 'e': 0.7038453156522361}",25,0,-125.06009390711637,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
397,False,"{'a': 0.002, 'e': 0.7024232023643763}",20,3,-15.415935804225745,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
398,False,"{'a': 0.002, 'e': 0.7009982793846437}",35,7,-45.9604074837663,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 1}",1
